source_name,file_name,local_path_hint,entry_kind,container_name,zip_member_count,zip_categories,category,file_size_bytes,file_size_gb,acquisition_date,acquisition_time_utc,processing_level,sensor_product,tile_id,sequence_id,tiff_version,image_width,image_height,samples_per_pixel,bits_per_sample,compression,pixel_size_m,crs_hint,bbox_lon_min,bbox_lat_min,bbox_lon_max,bbox_lat_max,mvp_overlap,floodguard_relevance,license_status,sha256_status,processing_allowed,reason_blocked
THEOS-2 hackathon sample imagery,IMG_T2V_20250730033331_ORTHO_PMS_32.tif-006.ovr,<input_dir>/IMG_T2V_20250730033331_ORTHO_PMS_32.tif-006.ovr,overview,,,,Disaster,2718836258,2.719,20250730,033331,ORTHO,PMS,32,,,,,,,,,,,,,,unknown_no_bbox,THEOS-2 disaster sample; useful for optical context and future optical-water experiments,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20250731035100_ORTHO_PMS_32-001.tif,<input_dir>/IMG_T2V_20250731035100_ORTHO_PMS_32-001.tif,image_tiff,,,,Disaster|LULC,6666381256,6.666,20250731,035100,ORTHO,PMS,32,001,BigTIFF,28580,29040,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,100.675272,18.447708,100.81192,18.577633,none_of_current_mvp_points,THEOS-2 disaster sample; useful for optical context and future optical-water experiments,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20250731035100_ORTHO_PMS_32-003.tif,<input_dir>/IMG_T2V_20250731035100_ORTHO_PMS_32-003.tif,image_tiff,,,,Disaster|LULC,6695093025,6.695,20250731,035100,ORTHO,PMS,32,003,BigTIFF,28508,29240,4,16|16|16|16,1,0.5,WGS84 / UTM Zone 47N,100.692074,18.521791,100.828467,18.652603,none_of_current_mvp_points,THEOS-2 disaster sample; useful for optical context and future optical-water experiments,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20250731035100_ORTHO_PMS_32.tif-005.ovr,<input_dir>/IMG_T2V_20250731035100_ORTHO_PMS_32.tif-005.ovr,overview,,,,Disaster|LULC,2236373538,2.236,20250731,035100,ORTHO,PMS,32,,,,,,,,,,,,,,unknown_no_bbox,THEOS-2 disaster sample; useful for optical context and future optical-water experiments,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,IMG_T2V_20250731035100_ORTHO_PMS_32.tif-007.ovr,<input_dir>/IMG_T2V_20250731035100_ORTHO_PMS_32.tif-007.ovr,overview,,,,Disaster|LULC,2258399010,2.258,20250731,035100,ORTHO,PMS,32,,,,,,,,,,,,,,unknown_no_bbox,THEOS-2 disaster sample; useful for optical context and future optical-water experiments,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-002.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-002.zip,zip_package,,10,Agri=1;Coastal=1;Disaster=1;LULC=4;RAW Data (PAN+MS)=1;Urban=2,package,613788005,0.614,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-009.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-009.zip,zip_package,,3,Agri=2;Miscellaneous=1,package,359893378,0.36,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-010.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-010.zip,zip_package,,9,Agri=3;Coastal=1;Miscellaneous=3;RAW Data (PAN+MS)=2,package,265282348,0.265,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-012.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-012.zip,zip_package,,7,Agri=2;Coastal=1;Miscellaneous=2;RAW Data (PAN+MS)=2,package,220073607,0.22,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-014.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-014.zip,zip_package,,7,Coastal=3;LULC=1;RAW Data (PAN+MS)=3,package,753927064,0.754,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-017.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-017.zip,zip_package,,6,Agri=1;Coastal=1;Disaster=1;Miscellaneous=2;RAW Data (PAN+MS)=1,package,53857247,0.054,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-018.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-018.zip,zip_package,,7,Coastal=1;Miscellaneous=1;RAW Data (PAN+MS)=2;Urban=3,package,248241427,0.248,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-019.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-019.zip,zip_package,,7,LULC=1;Miscellaneous=2;RAW Data (PAN+MS)=3,package,281698862,0.282,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-022.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-022.zip,zip_package,,7,Agri=1;Coastal=1;Disaster=1;Miscellaneous=1;RAW Data (PAN+MS)=1;Urban=2,package,281368506,0.281,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-023.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-023.zip,zip_package,,6,LULC=2;Miscellaneous=1;RAW Data (PAN+MS)=1;Urban=2,package,110517530,0.111,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-026.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-026.zip,zip_package,,7,Agri=1;Disaster=1;RAW Data (PAN+MS)=5,package,839821418,0.84,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
THEOS-2 hackathon sample imagery,THEOS-2 Sample Images-20260620T002637Z-3-027.zip,<input_dir>/THEOS-2 Sample Images-20260620T002637Z-3-027.zip,zip_package,,7,Agri=1;RAW Data (PAN+MS)=4,package,1290191732,1.29,,,,,,,,,,,,,,,,,,,unknown_package_not_georeferenced,metadata package for THEOS-2 optical context; inspect contained files before use,hackathon_terms_unverified,not_recorded,False,hackathon license terms not recorded; sha256 checksum not recorded; metadata-only inventory; imagery remains outside Git
