unit_id,feature_name,baseline_score_0_100,perturbed_score_0_100,score_delta,monotonicity_passed,source_timestamp,confidence_class,assumptions
FG-TB-003,global_flood_history_0_1,60.26,60.44,0.18,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-003,jrc_water_occurrence_0_1,60.26,60.4,0.14,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-003,jrc_water_seasonality_0_1,60.26,60.32,0.06,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-003,jrc_water_change_0_1,60.26,60.3,0.04,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-003,elevation_susceptibility_0_1,60.26,60.37,0.11,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-003,slope_susceptibility_0_1,60.26,60.37,0.11,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-003,worldcover_flood_proneness_0_1,60.26,60.34,0.08,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-003,river_proximity_0_1,60.26,60.34,0.08,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-003,drainage_density_0_1,60.26,60.31,0.05,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-003,catchment_wetness_0_1,60.26,60.32,0.06,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-003,soil_runoff_potential_0_1,60.26,60.3,0.04,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-003,rainfall_climatology_0_1,60.26,60.31,0.05,True,2025-12-31T00:00:00Z,medium,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,global_flood_history_0_1,74.05,74.23,0.18,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,jrc_water_occurrence_0_1,74.05,74.19,0.14,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,jrc_water_seasonality_0_1,74.05,74.11,0.06,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,jrc_water_change_0_1,74.05,74.09,0.04,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,elevation_susceptibility_0_1,74.05,74.16,0.11,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,slope_susceptibility_0_1,74.05,74.16,0.11,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,worldcover_flood_proneness_0_1,74.05,74.13,0.08,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,river_proximity_0_1,74.05,74.13,0.08,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,drainage_density_0_1,74.05,74.1,0.05,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,catchment_wetness_0_1,74.05,74.11,0.06,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,soil_runoff_potential_0_1,74.05,74.09,0.04,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-004,rainfall_climatology_0_1,74.05,74.1,0.05,True,2025-12-31T00:00:00Z,high,Synthetic normalized historical context features for demonstration only One-feature positive perturbation checks score monotonicity only.
FG-TB-005,global_flood_history_0_1,12.000001,12.197804,0.197803,True,2025-12-31T00:00:00Z,low,Synthetic steep-hillside context with missing drainage and soil inputs for conflict demonstration One-feature positive perturbation checks score monotonicity only.
FG-TB-005,jrc_water_occurrence_0_1,12.000001,12.153847,0.153846,True,2025-12-31T00:00:00Z,low,Synthetic steep-hillside context with missing drainage and soil inputs for conflict demonstration One-feature positive perturbation checks score monotonicity only.
FG-TB-005,jrc_water_seasonality_0_1,12.000001,12.065935,0.065934,True,2025-12-31T00:00:00Z,low,Synthetic steep-hillside context with missing drainage and soil inputs for conflict demonstration One-feature positive perturbation checks score monotonicity only.
FG-TB-005,jrc_water_change_0_1,12.000001,12.043957,0.043956,True,2025-12-31T00:00:00Z,low,Synthetic steep-hillside context with missing drainage and soil inputs for conflict demonstration One-feature positive perturbation checks score monotonicity only.
FG-TB-005,elevation_susceptibility_0_1,12.000001,12.12088,0.120879,True,2025-12-31T00:00:00Z,low,Synthetic steep-hillside context with missing drainage and soil inputs for conflict demonstration One-feature positive perturbation checks score monotonicity only.
FG-TB-005,slope_susceptibility_0_1,12.000001,12.12088,0.120879,True,2025-12-31T00:00:00Z,low,Synthetic steep-hillside context with missing drainage and soil inputs for conflict demonstration One-feature positive perturbation checks score monotonicity only.
FG-TB-005,worldcover_flood_proneness_0_1,12.000001,12.087913,0.087912,True,2025-12-31T00:00:00Z,low,Synthetic steep-hillside context with missing drainage and soil inputs for conflict demonstration One-feature positive perturbation checks score monotonicity only.
FG-TB-005,river_proximity_0_1,12.000001,12.087913,0.087912,True,2025-12-31T00:00:00Z,low,Synthetic steep-hillside context with missing drainage and soil inputs for conflict demonstration One-feature positive perturbation checks score monotonicity only.
FG-TB-005,catchment_wetness_0_1,12.000001,12.065935,0.065934,True,2025-12-31T00:00:00Z,low,Synthetic steep-hillside context with missing drainage and soil inputs for conflict demonstration One-feature positive perturbation checks score monotonicity only.
FG-TB-005,rainfall_climatology_0_1,12.000001,12.054946,0.054945,True,2025-12-31T00:00:00Z,low,Synthetic steep-hillside context with missing drainage and soil inputs for conflict demonstration One-feature positive perturbation checks score monotonicity only.
