node_id,subdistrict_id,total_population,vulnerable_population,non_vulnerable_population
N-99.9123824-20.4461674,TH570901,5.571,0.0,5.571
N-99.9136853-20.4465262,TH570901,4.789,0.0,4.789
N-99.9152024-20.4461055,TH570901,14.986,0.0,14.986
N-99.9162880-20.4467274,TH570901,6.348,0.0,6.348
N-99.9167652-20.4464607,TH570901,4.498,0.0,4.498
N-99.9261331-20.4463918,TH570901,4.992,0.0,4.992
N-99.9278037-20.4465707,TH570901,4.746,0.0,4.746
N-99.9281618-20.4468271,TH570901,8.449,0.0,8.449
N-99.9286996-20.4472832,TH570901,3.469,0.0,3.469
N-99.9296169-20.4477161,TH570901,3.37,0.0,3.37
N-99.9305439-20.4479112,TH570901,3.201,0.0,3.201
N-99.9311149-20.4480472,TH570901,1.626,0.0,1.626
N-99.9354725-20.4450658,TH570901,2.867,0.0,2.867
N-99.9366371-20.4453545,TH570901,5.447,0.0,5.447
N-99.9378664-20.4466594,TH570901,2.257,0.0,2.257
N-99.8996472-20.4460843,TH570901,17.142,0.0,17.142
N-99.9008358-20.4462520,TH570901,15.374,0.0,15.374
N-99.9021524-20.4458582,TH570901,8.61,0.0,8.61
N-99.9043943-20.4461222,TH570901,8.868,0.0,8.868
N-99.9050647-20.4457950,TH570901,8.621,0.0,8.621
N-99.9063539-20.4463107,TH570901,16.307,0.0,16.307
N-99.9074377-20.4458783,TH570901,8.103,0.0,8.103
N-99.9077877-20.4458444,TH570901,6.83,0.0,6.83
N-99.9094115-20.4458412,TH570901,6.094,0.0,6.094
N-99.9099536-20.4460298,TH570901,11.658,0.0,11.658
N-99.9107958-20.4463867,TH570901,7.113,0.0,7.113
N-99.9125715-20.4461472,TH570901,4.704,0.0,4.704
N-99.9131066-20.4460970,TH570901,5.243,0.0,5.243
N-99.9145859-20.4460902,TH570901,7.029,0.0,7.029
N-99.9161434-20.4458123,TH570901,7.461,0.0,7.461
N-99.9169269-20.4458212,TH570901,6.262,0.0,6.262
N-99.9175689-20.4454834,TH570901,6.189,0.0,6.189
N-99.9249246-20.4451121,TH570901,15.121,0.0,15.121
N-99.9259365-20.4455836,TH570901,6.296,0.0,6.296
N-99.9265547-20.4457425,TH570901,5.905,0.0,5.905
N-99.9272612-20.4460467,TH570901,4.704,0.0,4.704
N-99.9275798-20.4463521,TH570901,4.294,0.0,4.294
N-99.9306214-20.4440336,TH570901,12.95,0.0,12.95
N-99.9308869-20.4441291,TH570901,12.307,0.0,12.307
N-99.9316996-20.4443302,TH570901,9.262,0.0,9.262
N-99.9327850-20.4444963,TH570901,3.34,0.0,3.34
N-99.9337190-20.4447020,TH570901,4.955,0.0,4.955
N-99.9345316-20.4448420,TH570901,3.057,0.0,3.057
N-99.9356111-20.4450601,TH570901,6.049,0.0,6.049
N-99.9374751-20.4455335,TH570901,1.079,0.0,1.079
N-99.9382793-20.4456461,TH570901,1.078,0.0,1.078
N-99.8978918-20.4448520,TH570901,7.05,0.0,7.05
N-99.8992541-20.4446544,TH570901,7.717,0.0,7.717
N-99.8993542-20.4446678,TH570901,8.671,0.0,8.671
N-99.9023455-20.4449434,TH570901,26.382,0.0,26.382
N-99.9044059-20.4451778,TH570901,9.06,0.0,9.06
N-99.9050336-20.4450141,TH570901,9.026,0.0,9.026
N-99.9056500-20.4448529,TH570901,9.418,0.0,9.418
N-99.9069858-20.4448831,TH570901,8.532,0.0,8.532
N-99.9076030-20.4451352,TH570901,8.409,0.0,8.409
N-99.9087659-20.4445917,TH570901,7.556,0.0,7.556
N-99.9091230-20.4452341,TH570901,12.122,0.0,12.122
N-99.9129108-20.4445237,TH570901,4.452,0.0,4.452
N-99.9129282-20.4445513,TH570901,4.388,0.0,4.388
N-99.9133801-20.4448580,TH570901,12.814,0.0,12.814
N-99.9156421-20.4451225,TH570901,16.158,0.0,16.158
N-99.9165728-20.4450145,TH570901,8.069,0.0,8.069
N-99.9171674-20.4449939,TH570901,7.633,0.0,7.633
N-99.9179935-20.4450188,TH570901,7.124,0.0,7.124
N-99.9209265-20.4447323,TH570901,18.262,0.0,18.262
N-99.9258698-20.4450706,TH570901,7.336,0.0,7.336
N-99.9267493-20.4453160,TH570901,6.047,0.0,6.047
N-99.9270406-20.4445265,TH570901,9.313,0.0,9.313
N-99.9295834-20.4436038,TH570901,8.25,0.0,8.25
N-99.9324207-20.4444351,TH570901,6.116,0.0,6.116
N-99.9350079-20.4448989,TH570901,5.285,0.0,5.285
N-99.9376173-20.4454373,TH570901,1.118,0.0,1.118
N-99.9388148-20.4449475,TH570901,1.102,0.0,1.102
N-99.8966388-20.4441831,TH570901,11.651,0.0,11.651
N-99.8974710-20.4438536,TH570901,8.859,0.0,8.859
N-99.8980876-20.4439475,TH570901,6.984,0.0,6.984
N-99.8990093-20.4443225,TH570901,6.928,0.0,6.928
N-99.8994578-20.4440048,TH570901,7.562,0.0,7.562
N-99.8995043-20.4438005,TH570901,28.713,0.0,28.713
N-99.9024957-20.4442196,TH570901,15.841,0.0,15.841
N-99.9026781-20.4437521,TH570901,17.97,0.0,17.97
N-99.9042962-20.4445906,TH570901,7.856,0.0,7.856
N-99.9045122-20.4444883,TH570901,7.685,0.0,7.685
N-99.9061543-20.4444081,TH570901,7.684,0.0,7.684
N-99.9063635-20.4443101,TH570901,7.682,0.0,7.682
N-99.9082713-20.4443138,TH570901,8.648,0.0,8.648
N-99.9083815-20.4441100,TH570901,7.876,0.0,7.876
N-99.9091262-20.4440738,TH570901,36.407,0.0,36.407
N-99.9129027-20.4444634,TH570901,11.769,0.0,11.769
N-99.9133681-20.4446104,TH570901,6.229,0.0,6.229
N-99.9140239-20.4441995,TH570901,7.178,0.0,7.178
N-99.9153583-20.4436453,TH570901,8.736,0.0,8.736
N-99.9159133-20.4440558,TH570901,8.919,0.0,8.919
N-99.9162219-20.4440237,TH570901,9.822,0.0,9.822
N-99.9177360-20.4442801,TH570901,9.457,0.0,9.457
N-99.9183655-20.4443270,TH570901,8.886,0.0,8.886
N-99.9189940-20.4444495,TH570901,8.747,0.0,8.747
N-99.9193963-20.4445061,TH570901,9.231,0.0,9.231
N-99.9243037-20.4443868,TH570901,9.492,0.0,9.492
N-99.9253896-20.4440223,TH570901,9.247,0.0,9.247
N-99.9262654-20.4441473,TH570901,8.044,0.0,8.044
N-99.9264611-20.4438993,TH570901,5.961,0.0,5.961
N-99.9270266-20.4442893,TH570901,5.197,0.0,5.197
N-99.9278828-20.4436164,TH570901,14.581,0.0,14.581
N-99.9381530-20.4441016,TH570901,5.19,0.0,5.19
N-99.9384888-20.4441940,TH570901,1.233,0.0,1.233
N-99.9391190-20.4442644,TH570901,1.213,0.0,1.213
N-99.8854983-20.4437925,TH570901,31.055,0.0,31.055
N-99.8865875-20.4433149,TH570901,29.293,0.0,29.293
N-99.8875593-20.4432657,TH570901,28.174,0.0,28.174
N-99.8901178-20.4430923,TH570901,10.319,0.0,10.319
N-99.8953693-20.4434149,TH570901,10.548,0.0,10.548
N-99.8970636-20.4440108,TH570901,11.0,0.0,11.0
N-99.8980414-20.4432541,TH570901,17.576,0.0,17.576
N-99.9028069-20.4435561,TH570901,20.29,0.0,20.29
N-99.9031395-20.4432595,TH570901,11.066,0.0,11.066
N-99.9041320-20.4434309,TH570901,13.276,0.0,13.276
N-99.9055705-20.4430524,TH570901,13.342,0.0,13.342
N-99.9057904-20.4431781,TH570901,11.908,0.0,11.908
N-99.9066387-20.4432229,TH570901,10.885,0.0,10.885
N-99.9074091-20.4432957,TH570901,14.138,0.0,14.138
N-99.9081939-20.4434878,TH570901,11.802,0.0,11.802
N-99.9085550-20.4433127,TH570901,10.836,0.0,10.836
N-99.9128893-20.4434757,TH570901,29.52,0.0,29.52
N-99.9140580-20.4433488,TH570901,10.959,0.0,10.959
N-99.9146361-20.4433299,TH570901,16.239,0.0,16.239
N-99.9163426-20.4435888,TH570901,17.65,0.0,17.65
N-99.9167543-20.4435714,TH570901,19.343,0.0,19.343
N-99.9172179-20.4435740,TH570901,21.359,0.0,21.359
N-99.9187044-20.4433759,TH570901,19.209,0.0,19.209
N-99.9190959-20.4433137,TH570901,13.075,0.0,13.075
N-99.9221488-20.4432849,TH570901,13.883,0.0,13.883
N-99.9233968-20.4437473,TH570901,10.773,0.0,10.773
N-99.9245598-20.4433432,TH570901,21.877,0.0,21.877
N-99.9256662-20.4434792,TH570901,8.359,0.0,8.359
N-99.9266236-20.4434493,TH570901,6.951,0.0,6.951
N-99.9295405-20.4434606,TH570901,4.026,0.0,4.026
N-99.9296531-20.4430886,TH570901,3.448,0.0,3.448
N-99.9337014-20.4421533,TH570901,32.898,0.0,32.898
N-99.9373443-20.4419934,TH570901,8.722,0.0,8.722
N-99.9392477-20.4438824,TH570901,1.744,0.0,1.744
N-99.8814423-20.4422809,TH570901,43.756,0.0,43.756
N-99.8824420-20.4422916,TH570901,43.621,0.0,43.621
N-99.8832642-20.4425426,TH570901,44.016,0.0,44.016
N-99.8842145-20.4424707,TH570901,43.953,0.0,43.953
N-99.8846569-20.4426927,TH570901,42.852,0.0,42.852
N-99.8858871-20.4425072,TH570901,33.161,0.0,33.161
N-99.8864547-20.4427320,TH570901,32.365,0.0,32.365
N-99.8870587-20.4425158,TH570901,30.583,0.0,30.583
N-99.8886148-20.4425341,TH570901,27.151,0.0,27.151
N-99.8896634-20.4423868,TH570901,22.148,0.0,22.148
N-99.8899187-20.4423964,TH570901,11.205,0.0,11.205
N-99.8909102-20.4426279,TH570901,9.887,0.0,9.887
N-99.8918458-20.4425760,TH570901,9.289,0.0,9.289
N-99.8924885-20.4424815,TH570901,8.405,0.0,8.405
N-99.8933268-20.4423614,TH570901,8.742,8.742,0.0
N-99.8968591-20.4418822,TH570901,12.308,0.0,12.308
N-99.8979566-20.4426619,TH570901,19.409,0.0,19.409
N-99.8991671-20.4420280,TH570901,7.069,0.0,7.069
N-99.8996057-20.4417076,TH570901,38.649,0.0,38.649
N-99.9032862-20.4425722,TH570901,14.281,0.0,14.281
N-99.9033086-20.4424331,TH570901,12.673,0.0,12.673
N-99.9041718-20.4423214,TH570901,13.139,0.0,13.139
N-99.9048794-20.4422805,TH570901,12.697,0.0,12.697
N-99.9054135-20.4425812,TH570901,13.083,0.0,13.083
N-99.9066796-20.4429965,TH570901,14.419,0.0,14.419
N-99.9077749-20.4425256,TH570901,14.64,0.0,14.64
N-99.9083629-20.4421463,TH570901,12.541,0.0,12.541
N-99.9090158-20.4421486,TH570901,14.77,0.0,14.77
N-99.9095442-20.4417847,TH570901,14.767,0.0,14.767
N-99.9102649-20.4414813,TH570901,11.568,0.0,11.568
N-99.9128464-20.4425432,TH570901,35.886,0.0,35.886
N-99.9141580-20.4423195,TH570901,12.967,0.0,12.967
N-99.9152567-20.4420717,TH570901,16.916,0.0,16.916
N-99.9160982-20.4423359,TH570901,17.621,0.0,17.621
N-99.9166596-20.4426217,TH570901,19.773,0.0,19.773
N-99.9173143-20.4425006,TH570901,22.081,0.0,22.081
N-99.9186223-20.4423423,TH570901,23.449,0.0,23.449
N-99.9189790-20.4421621,TH570901,15.314,0.0,15.314
N-99.9201313-20.4424842,TH570901,15.889,0.0,15.889
N-99.9210589-20.4425147,TH570901,15.191,0.0,15.191
N-99.9214045-20.4426874,TH570901,12.67,0.0,12.67
N-99.9225600-20.4424911,TH570901,12.823,0.0,12.823
N-99.9234363-20.4428798,TH570901,10.273,0.0,10.273
N-99.9239866-20.4427394,TH570901,9.541,0.0,9.541
N-99.9254753-20.4423666,TH570901,30.717,0.0,30.717
N-99.9270361-20.4419581,TH570901,21.428,0.0,21.428
N-99.9283817-20.4421562,TH570901,4.621,0.0,4.621
N-99.9288216-20.4423924,TH570901,3.695,0.0,3.695
N-99.9296343-20.4430208,TH570901,6.609,0.0,6.609
N-99.9374215-20.4419187,TH570901,2.159,0.0,2.159
N-99.9394264-20.4426856,TH570901,1.836,0.0,1.836
N-99.8811428-20.4415932,TH570901,43.479,0.0,43.479
N-99.8824842-20.4414772,TH570901,43.587,0.0,43.587
N-99.8836216-20.4416643,TH570901,43.567,0.0,43.567
N-99.8840766-20.4419088,TH570901,44.947,0.0,44.947
N-99.8847717-20.4416970,TH570901,43.246,0.0,43.246
N-99.8858517-20.4415079,TH570901,35.151,0.0,35.151
N-99.8866179-20.4412559,TH570901,69.835,0.0,69.835
N-99.8876448-20.4413501,TH570901,32.847,0.0,32.847
N-99.8884340-20.4416703,TH570901,29.824,0.0,29.824
N-99.8888218-20.4419539,TH570901,28.647,0.0,28.647
N-99.8898424-20.4418772,TH570901,13.499,0.0,13.499
N-99.8908944-20.4414272,TH570901,12.904,0.0,12.904
N-99.8922087-20.4420151,TH570901,21.117,0.0,21.117
N-99.8935575-20.4410770,TH570901,23.174,0.0,23.174
N-99.8969141-20.4417063,TH570901,11.01,0.0,11.01
N-99.8976868-20.4416724,TH570901,11.471,0.0,11.471
N-99.8983842-20.4418231,TH570901,9.957,0.0,9.957
N-99.8992757-20.4416648,TH570901,8.455,0.0,8.455
N-99.9033042-20.4422850,TH570901,23.231,0.0,23.231
N-99.9033715-20.4422177,TH570901,13.833,0.0,13.833
N-99.9042963-20.4417835,TH570901,14.06,0.0,14.06
N-99.9050724-20.4419574,TH570901,15.29,0.0,15.29
N-99.9053282-20.4420292,TH570901,16.023,0.0,16.023
N-99.9068443-20.4416253,TH570901,18.742,0.0,18.742
N-99.9073108-20.4416780,TH570901,18.96,0.0,18.96
N-99.9081439-20.4415593,TH570901,15.885,0.0,15.885
N-99.9091686-20.4418603,TH570901,19.268,0.0,19.268
N-99.9098592-20.4415964,TH570901,18.263,0.0,18.263
N-99.9112928-20.4413189,TH570901,27.623,0.0,27.623
N-99.9129201-20.4416937,TH570901,14.4,0.0,14.4
N-99.9136913-20.4416232,TH570901,15.026,0.0,15.026
N-99.9140600-20.4417500,TH570901,15.471,0.0,15.471
N-99.9149394-20.4415921,TH570901,20.732,0.0,20.732
N-99.9158777-20.4418887,TH570901,20.662,0.0,20.662
N-99.9165494-20.4412484,TH570901,19.952,0.0,19.952
N-99.9175304-20.4416996,TH570901,19.233,0.0,19.233
N-99.9183554-20.4420584,TH570901,23.757,0.0,23.757
N-99.9191411-20.4417945,TH570901,15.645,0.0,15.645
N-99.9200722-20.4415896,TH570901,15.592,0.0,15.592
N-99.9209094-20.4414581,TH570901,14.967,0.0,14.967
N-99.9216516-20.4415636,TH570901,12.042,0.0,12.042
N-99.9227736-20.4417157,TH570901,9.682,0.0,9.682
N-99.9234437-20.4417982,TH570901,8.3,0.0,8.3
N-99.9238430-20.4416947,TH570901,21.001,0.0,21.001
N-99.9283269-20.4415688,TH570901,4.677,0.0,4.677
N-99.9285364-20.4415036,TH570901,9.133,0.0,9.133
N-99.9300467-20.4410236,TH570901,17.207,0.0,17.207
N-99.9306698-20.4407832,TH570901,20.316,0.0,20.316
N-99.9373524-20.4418313,TH570901,5.593,0.0,5.593
N-99.9375656-20.4416208,TH570901,5.342,0.0,5.342
N-99.9379706-20.4412451,TH570901,4.629,0.0,4.629
N-99.9395822-20.4417158,TH570901,1.911,0.0,1.911
N-99.8826906-20.4405112,TH570901,42.414,0.0,42.414
N-99.8831180-20.4406552,TH570901,43.66,0.0,43.66
N-99.8841031-20.4409334,TH570901,42.766,0.0,42.766
N-99.8849401-20.4408949,TH570901,42.057,0.0,42.057
N-99.8856827-20.4404966,TH570901,35.545,0.0,35.545
N-99.8871864-20.4404232,TH570901,34.721,0.0,34.721
N-99.8886586-20.4412808,TH570901,34.65,0.0,34.65
N-99.8891169-20.4408279,TH570901,29.414,0.0,29.414
N-99.8902219-20.4407534,TH570901,13.682,0.0,13.682
N-99.8908809-20.4407801,TH570901,14.108,0.0,14.108
N-99.8916868-20.4404212,TH570901,13.43,0.0,13.43
N-99.8927105-20.4407027,TH570901,12.915,12.915,0.0
N-99.8939668-20.4407959,TH570901,12.011,0.0,12.011
N-99.8950837-20.4408844,TH570901,13.57,0.0,13.57
N-99.8957312-20.4409322,TH570901,13.205,0.0,13.205
N-99.8970919-20.4408704,TH570901,24.134,0.0,24.134
N-99.8981717-20.4411128,TH570901,10.57,0.0,10.57
N-99.8986924-20.4408568,TH570901,9.737,0.0,9.737
N-99.8992686-20.4414595,TH570901,9.283,0.0,9.283
N-99.9015516-20.4392282,TH570901,48.9,0.0,48.9
N-99.9026882-20.4393701,TH570901,49.291,0.0,49.291
N-99.9044020-20.4412909,TH570901,32.08,0.0,32.08
N-99.9047039-20.4406185,TH570901,17.227,0.0,17.227
N-99.9057962-20.4407726,TH570901,18.028,0.0,18.028
N-99.9064726-20.4411675,TH570901,21.737,0.0,21.737
N-99.9073650-20.4409866,TH570901,20.026,0.0,20.026
N-99.9081295-20.4411592,TH570901,20.938,0.0,20.938
N-99.9091779-20.4408351,TH570901,20.854,0.0,20.854
N-99.9099871-20.4413921,TH570901,21.981,0.0,21.981
N-99.9112670-20.4411704,TH570901,15.798,0.0,15.798
N-99.9118592-20.4410666,TH570901,15.884,0.0,15.884
N-99.9125021-20.4410591,TH570901,15.771,0.0,15.771
N-99.9132987-20.4405918,TH570901,16.585,0.0,16.585
N-99.9143842-20.4409710,TH570901,16.581,0.0,16.581
N-99.9147672-20.4404444,TH570901,43.117,0.0,43.117
N-99.9156370-20.4408373,TH570901,21.74,0.0,21.74
N-99.9167876-20.4405459,TH570901,20.957,0.0,20.957
N-99.9178026-20.4407894,TH570901,17.523,0.0,17.523
N-99.9182520-20.4406487,TH570901,22.963,0.0,22.963
N-99.9192810-20.4411446,TH570901,15.505,0.0,15.505
N-99.9199650-20.4408442,TH570901,14.528,0.0,14.528
N-99.9210620-20.4411308,TH570901,13.513,0.0,13.513
N-99.9218050-20.4408480,TH570901,10.328,0.0,10.328
N-99.9228009-20.4408437,TH570901,14.725,0.0,14.725
N-99.9265340-20.4400203,TH570901,23.885,0.0,23.885
N-99.9282226-20.4415991,TH570901,5.047,0.0,5.047
N-99.9319070-20.4402390,TH570901,7.527,0.0,7.527
N-99.9319916-20.4402020,TH570901,8.25,0.0,8.25
N-99.9330816-20.4397257,TH570901,8.648,0.0,8.648
N-99.9345490-20.4392016,TH570901,19.857,0.0,19.857
N-99.9373557-20.4418213,TH570901,3.416,0.0,3.416
N-99.9382979-20.4409209,TH570901,4.641,0.0,4.641
N-99.9386948-20.4405426,TH570901,3.164,0.0,3.164
N-99.9401310-20.4411786,TH570901,2.771,0.0,2.771
N-99.8823396-20.4401715,TH570901,39.614,0.0,39.614
N-99.8833984-20.4400412,TH570901,40.684,0.0,40.684
N-99.8842912-20.4400606,TH570901,41.828,0.0,41.828
N-99.8850126-20.4404126,TH570901,40.093,0.0,40.093
N-99.8856259-20.4401669,TH570901,33.941,0.0,33.941
N-99.8867349-20.4398346,TH570901,34.405,0.0,34.405
N-99.8871994-20.4401353,TH570901,34.173,0.0,34.173
N-99.8885295-20.4400098,TH570901,32.796,0.0,32.796
N-99.8893635-20.4399730,TH570901,30.317,0.0,30.317
N-99.8902449-20.4397370,TH570901,38.154,0.0,38.154
N-99.8908669-20.4397577,TH570901,15.166,0.0,15.166
N-99.8917379-20.4400190,TH570901,13.016,0.0,13.016
N-99.8925236-20.4401262,TH570901,15.05,0.0,15.05
N-99.8931117-20.4400512,TH570901,14.276,0.0,14.276
N-99.8939154-20.4399042,TH570901,13.707,0.0,13.707
N-99.8947491-20.4400348,TH570901,13.536,0.0,13.536
N-99.8956462-20.4399301,TH570901,13.978,0.0,13.978
N-99.8969468-20.4401484,TH570901,13.532,0.0,13.532
N-99.8973543-20.4400364,TH570901,13.429,0.0,13.429
N-99.8986278-20.4399333,TH570901,24.816,0.0,24.816
N-99.8995224-20.4391826,TH570901,30.506,0.0,30.506
N-99.9046571-20.4399385,TH570901,18.836,0.0,18.836
N-99.9051088-20.4400137,TH570901,20.291,0.0,20.291
N-99.9055596-20.4400294,TH570901,20.557,0.0,20.557
N-99.9066170-20.4398447,TH570901,23.033,0.0,23.033
N-99.9075340-20.4401373,TH570901,23.068,0.0,23.068
N-99.9082400-20.4398412,TH570901,22.473,0.0,22.473
N-99.9090035-20.4398229,TH570901,22.308,0.0,22.308
N-99.9101712-20.4398379,TH570901,21.276,0.0,21.276
N-99.9102692-20.4398564,TH570901,16.043,0.0,16.043
N-99.9115029-20.4400722,TH570901,16.762,0.0,16.762
N-99.9123845-20.4397652,TH570901,16.554,0.0,16.554
N-99.9135510-20.4400332,TH570901,16.697,0.0,16.697
N-99.9142419-20.4402162,TH570901,16.741,0.0,16.741
N-99.9160083-20.4394939,TH570901,20.916,0.0,20.916
N-99.9164609-20.4396240,TH570901,20.934,0.0,20.934
N-99.9179454-20.4402441,TH570901,20.874,0.0,20.874
N-99.9183362-20.4396681,TH570901,21.62,0.0,21.62
N-99.9193627-20.4399055,TH570901,12.318,0.0,12.318
N-99.9196813-20.4395789,TH570901,10.928,0.0,10.928
N-99.9207079-20.4404168,TH570901,9.635,0.0,9.635
N-99.9217635-20.4399585,TH570901,8.896,0.0,8.896
N-99.9228129-20.4401909,TH570901,8.249,0.0,8.249
N-99.9231450-20.4398318,TH570901,6.759,0.0,6.759
N-99.9238990-20.4394728,TH570901,6.405,0.0,6.405
N-99.9248594-20.4392338,TH570901,6.053,0.0,6.053
N-99.9269199-20.4397114,TH570901,5.508,0.0,5.508
N-99.9271723-20.4394269,TH570901,13.307,0.0,13.307
N-99.9336811-20.4394865,TH570901,4.922,0.0,4.922
N-99.9354100-20.4389190,TH570901,22.657,0.0,22.657
N-99.9389242-20.4401933,TH570901,2.877,0.0,2.877
N-99.9390315-20.4400287,TH570901,9.416,0.0,9.416
N-99.9415620-20.4400068,TH570901,3.077,0.0,3.077
N-99.8834074-20.4393731,TH570901,42.79,0.0,42.79
N-99.8840870-20.4389616,TH570901,42.988,0.0,42.988
N-99.8847692-20.4388593,TH570901,40.182,0.0,40.182
N-99.8856238-20.4392461,TH570901,31.294,0.0,31.294
N-99.8869369-20.4392429,TH570901,32.597,0.0,32.597
N-99.8877516-20.4390845,TH570901,32.553,0.0,32.553
N-99.8882639-20.4391248,TH570901,32.624,0.0,32.624
N-99.8893104-20.4396129,TH570901,33.496,0.0,33.496
N-99.8909209-20.4386899,TH570901,39.068,0.0,39.068
N-99.8917459-20.4392389,TH570901,19.24,0.0,19.24
N-99.8923930-20.4395883,TH570901,19.731,0.0,19.731
N-99.8934261-20.4390331,TH570901,20.221,0.0,20.221
N-99.8942324-20.4391246,TH570901,23.533,0.0,23.533
N-99.8946341-20.4391907,TH570901,23.558,0.0,23.558
N-99.8956360-20.4393346,TH570901,27.886,0.0,27.886
N-99.8967017-20.4394267,TH570901,28.273,0.0,28.273
N-99.8974905-20.4393736,TH570901,25.094,0.0,25.094
N-99.8984103-20.4392130,TH570901,20.961,0.0,20.961
N-99.8990221-20.4391719,TH570901,21.807,0.0,21.807
N-99.9007485-20.4386716,TH570901,14.374,0.0,14.374
N-99.9023945-20.4393028,TH570901,18.795,0.0,18.795
N-99.9032866-20.4388021,TH570901,21.863,0.0,21.863
N-99.9043478-20.4390749,TH570901,22.734,0.0,22.734
N-99.9049974-20.4391290,TH570901,21.191,0.0,21.191
N-99.9064883-20.4392300,TH570901,21.883,0.0,21.883
N-99.9064912-20.4391109,TH570901,15.068,0.0,15.068
N-99.9075939-20.4391660,TH570901,14.457,0.0,14.457
N-99.9083206-20.4391907,TH570901,14.966,0.0,14.966
N-99.9091255-20.4392893,TH570901,14.645,0.0,14.645
N-99.9101159-20.4389793,TH570901,12.556,0.0,12.556
N-99.9108340-20.4393151,TH570901,11.653,0.0,11.653
N-99.9116696-20.4389862,TH570901,12.067,0.0,12.067
N-99.9124573-20.4391849,TH570901,12.018,0.0,12.018
N-99.9136294-20.4396268,TH570901,12.002,0.0,12.002
N-99.9143535-20.4388932,TH570901,11.985,0.0,11.985
N-99.9153320-20.4389536,TH570901,11.187,0.0,11.187
N-99.9161466-20.4391204,TH570901,20.039,0.0,20.039
N-99.9181473-20.4390504,TH570901,20.789,0.0,20.789
N-99.9192402-20.4392652,TH570901,10.054,0.0,10.054
N-99.9197850-20.4391265,TH570901,9.482,0.0,9.482
N-99.9209679-20.4390109,TH570901,9.282,0.0,9.282
N-99.9215788-20.4395509,TH570901,7.976,0.0,7.976
N-99.9224205-20.4391804,TH570901,7.23,0.0,7.23
N-99.9234592-20.4396523,TH570901,7.685,0.0,7.685
N-99.9242219-20.4393695,TH570901,6.719,0.0,6.719
N-99.9249734-20.4392152,TH570901,7.38,0.0,7.38
N-99.9275176-20.4388662,TH570901,7.112,0.0,7.112
N-99.9277659-20.4386673,TH570901,15.016,0.0,15.016
N-99.9286420-20.4382548,TH570901,13.121,0.0,13.121
N-99.9288803-20.4380723,TH570901,15.586,0.0,15.586
N-99.9315646-20.4381051,TH570901,17.53,0.0,17.53
N-99.9328475-20.4394544,TH570901,4.721,0.0,4.721
N-99.9334698-20.4388512,TH570901,5.745,0.0,5.745
